Just looking at him makes me  M_go M_weak at the M_knees .
I  M_fell for  Molly in a big way.
Do you remember the first time you  M_fell in M_love ?
I’d never met anyone like Jack – he just  M_swept me off my M_feet .
I was  M_bowled over  by his charm and good looks.
Anyone can see they’re  M_head over M_heels  in love.
That girl is an absolute  M_knockout .
He’s  M_drop-dead M_gorgeous .
He’s always  had a  bit of a weakness for brunettes.
She felt  M_helpless  with desire.
Their new singer’s really  M_hot .
I bumped into an  M_old M_flame  yesterday.
"It was a  M_fiery , passionate relationship."
His touch  M_inflamed  her senses.
She gave him a  M_smouldering  look.
His eyes  M_burned  with desire.
The movie includes some  M_steamy  sex scenes.
Sara felt herself  M_melting  into his arms.
Just looking at him makes me  M_go M_weak at the M_knees .
I  M_fell for  Molly in a big way.
Do you remember the first time you  M_fell in M_love ?
I’d never met anyone like Jack – he just  M_swept me off my M_feet .
I was  M_bowled over  by his charm and good looks.
Anyone can see they’re  M_head over M_heels  in love.
That girl is an absolute  M_knockout .
He’s  M_drop-dead M_gorgeous .
He’s always  had a  bit of a weakness for brunettes.
She felt  M_helpless  with desire.
Their new singer’s really  M_hot .
I bumped into an  M_old M_flame  yesterday.
"It was a  M_fiery , passionate relationship."
His touch  M_inflamed  her senses.
She gave him a  M_smouldering  look.
His eyes  M_burned  with desire.
The movie includes some  M_steamy  sex scenes.
Sara felt herself  M_melting  into his arms.
"I’m very sorry, I never intended to  M_mislead  anyone."
He was  M_led M_astray  by the other boys.
I found out I’d been  M_taken for a M_ride .
Ann was furious when she discovered she’d been  M_led M_up/down the M_garden M_path .
Do you think he’s just  M_leading  her on?
The gang  M_laid  a false trail to throw investigators off the scent.
The ship acted as a  M_decoy  while the troops landed on another beach.
It had all been a  M_wild-goose M_chase .
I think they’ve been  M_giving  us the runaround.
I  M_see  what you mean.
I  M_saw through  him at once: I knew he was lying.
They  M_recognized  the fact that they needed to improve.
She has great  M_insight  and will know what to do.
I could not  M_foresee  what would happen.
He’s very  M_clear-sighted .
There was a change in the public  M_perception  of education.
The answer is very  M_obvious .
I’m  M_unclear  about what they did next.
She had a  M_clear  understanding of what was involved.
Their motives are  M_transparent .
How did you know? You must have  M_read  my mind.
I can  M_read  him like a book.
They  M_turned a M_blind M_eye  to what was happening there.
She has a good  M_grasp  of Japanese.
I need to  M_get to M_grips with  the subject.
I’m still  M_grappling with  the basics.
"I couldn’t  M_put  my finger on it, but there was definitely something wrong."
You’ve certainly got your  M_finger on the M_pulse .
Such abstract concepts can be very  M_slippery .
It’s quite a difficult idea to  M_get M_hold of .
These are the kind of issues that really  M_engage  people.
I first  M_got into  drama as a student.
The children were completely  M_absorbed in  their work.
I became very  M_involved with  the problem of poverty.
We were  M_gripped by  this fantastic film.
What  M_drew you to  politics in the first place?
The idea doesn’t really  M_grab  me.
This is an  M_engaging  tale of love and loss.
I found the play  M_riveting .
an  M_absorbing  account of his life
I was  M_glued to  my seat.
This is a very  M_attractive  notion.
She has always felt the  M_pull  of foreign travel.
The exhibition proved to be a big  M_draw .
"I’m very sorry, I never intended to  M_mislead  anyone."
He was  M_led M_astray  by the other boys.
I found out I’d been  M_taken for a M_ride .
Ann was furious when she discovered she’d been  M_led M_up/down the M_garden M_path .
Do you think he’s just  M_leading  her on?
The gang  M_laid  a false trail to throw investigators off the scent.
The ship acted as a  M_decoy  while the troops landed on another beach.
It had all been a  M_wild-goose M_chase .
I think they’ve been  M_giving  us the runaround.
"The soldiers were all drunk, and they behaved like  M_animals ."
You greedy  M_pig !
That little  M_rat  has been spying on us.
"Don’t talk to me, you miserable  M_worm ."
It’s time to take action against these  M_sharks  who prey on the poor.
The press were gathering outside her house like  M_vultures .
"I know what you’re up to, you dirty  M_dog ."
His wife was a  M_mousy  little woman.
"You little  M_monkey , have you been playing with my stuff again?"
"There’s nothing to be afraid of, you silly  M_goose ."
"She’s a very original writer, and has never been one to follow the  M_herd ."
,"He seems tough, but he’s a  M_pussycat  when you get to know him."
Most people are like  M_sheep  – they just do what everyone else does.
"He described his opponents as  M_dinosaurs , out of touch with present day reality."
Just looking at him makes me  M_go M_weak at the M_knees .
I  M_fell for  Molly in a big way.
Do you remember the first time you  M_fell in M_love ?
I’d never met anyone like Jack – he just  M_swept me off my M_feet .
I was  M_bowled over  by his charm and good looks.
Anyone can see they’re  M_head over M_heels  in love.
That girl is an absolute  M_knockout .
He’s  M_drop-dead M_gorgeous .
He’s always  had a  bit of a weakness for brunettes.
She felt  M_helpless  with desire.
Their new singer’s really  M_hot .
I bumped into an  M_old M_flame  yesterday.
